index,training_name,training_index
202,Standing Leg Extension,2
203,Standing Leg Extension,3
204,Standing Single-leg Cable Rotation,1
205,Standing Single-leg Cable Rotation,2
206,Standing Single-leg Cable Rotation,3
207,Standing Trunk Rotation,1
208,Standing Trunk Rotation,2
209,Standing Trunk Rotation,3
210,Supine Bicycle Crunches,1
211,Supine Bicycle Crunches,2
212,Supine Bicycle Crunches,3
213,Supine Dead Bug,1
214,Supine Dead Bug,2
215,Supine Dead Bug,3
216,Supine Dead Bug,4
217,Supine Hollowing with Lower Extremity Movements,1
218,Supine Hollowing with Lower Extremity Movements,2
219,Supine Hollowing with Lower Extremity Movements,3
220,Supine Pelvic Tilts,1
221,Supine Pelvic Tilts,2
222,Supine Reverse Marches,1
223,Supine Reverse Marches,2
224,Supine Reverse Marches,3
225,Supine Rotator Cuff,1
226,Supine Rotator Cuff,2
227,Supine Rotator Cuff,3
228,Supine Shoulder Roll,1
229,Supine Shoulder Roll,2
230,Supine Snow Angel (Wipers) Exercise,1
231,Supine Snow Angel (Wipers) Exercise,2
232,Supine Snow Angel (Wipers) Exercise,3
233,Supine Spinal Twist with Rib Grab and Progressions,1
234,Supine Spinal Twist with Rib Grab and Progressions,10
235,Supine Spinal Twist with Rib Grab and Progressions,2
236,Supine Spinal Twist with Rib Grab and Progressions,3
237,Supine Spinal Twist with Rib Grab and Progressions,4
238,Supine Spinal Twist with Rib Grab and Progressions,5
239,Supine Spinal Twist with Rib Grab and Progressions,6
240,Supine Spinal Twist with Rib Grab and Progressions,7
241,Supine Spinal Twist with Rib Grab and Progressions,8
242,Supine Spinal Twist with Rib Grab and Progressions,9
243,Supine Suitcase Pass,1
244,Supine Suitcase Pass,2
245,Supine Suitcase Pass,3
246,TRX ¢ç Atomic Push-up,1
247,TRX ¢ç Atomic Push-up,2
248,TRX ¢ç Atomic Push-up,3
249,TRX ¢ç Atomic Push-up,4
250,TRX ¢ç Back Row,1
251,TRX ¢ç Back Row,2
252,TRX ¢ç Back Row,3
253,TRX ¢ç Biceps Curl,1
254,TRX ¢ç Biceps Curl,2
255,TRX ¢ç Biceps Curl,3
256,TRX ¢ç Biceps Curl,4
257,TRX ¢ç Chest Press,1
258,TRX ¢ç Chest Press,2
259,TRX ¢ç Front Rollout,1
260,TRX ¢ç Front Rollout,2
261,TRX ¢ç Front Rollout,3
