index,training_name,training_index
210,Quadruped Bent-knee Hip Extensions,1
211,Quadruped Bent-knee Hip Extensions,2
212,Reverse Lunge,1
213,Reverse Lunge,2
214,Reverse Slam,1
215,Reverse Slam,2
216,Reverse Slam,3
217,Romanian Deadlift,1
218,Romanian Deadlift,2
219,Russian Twist,1
220,Russian Twist,2
221,Russian Twist,3
222,Russian Twist,4
223,Seated Leg Press Exercise,1
224,Seated Leg Press Exercise,2
225,Seated Leg Press Exercise,3
226,Seated Leg Press Exercise,4
227,Seated Leg Press Exercise,5
228,Side Lunge,1
229,Side Lunge,2
230,Side Lunge,3
231,Side Lying Hip Abduction,1
232,Side Lying Hip Abduction,2
233,Side Lying Hip Adduction,1
234,Side Lying Hip Adduction,2
235,Side Plank (Modified),1
236,Side Plank (Modified),2
237,Side Plank - modified,1
238,Side Plank - modified,2
239,Side Plank with Straight Leg,1
240,Side Plank with Straight Leg,2
241,Single Leg Hamstring Curl,1
242,Single Leg Hamstring Curl,2
243,Single Leg Push-off,1
244,Single Leg Push-off,2
245,Single Leg Push-off,3
246,Single Leg Push-off,4
247,Single Leg Romanian Dead Lift,1
248,Single Leg Romanian Dead Lift,2
249,Single Leg Squat,1
250,Single Leg Squat,2
251,Single Leg Squat,3
252,Single Leg Squat,4
253,Single Leg Squat,5
254,Single Leg Squat,6
255,"Single-arm, Single-leg Romanian Dead Lift",1
256,"Single-arm, Single-leg Romanian Dead Lift",2
257,Single-leg Romanian Deadlift,1
258,Single-leg Romanian Deadlift,2
259,Squat Jump,1
260,Squat Jump,2
261,Squat Jump,3
262,Squat Jump,4
263,Squat Jumps,1
264,Squat Jumps,2
265,Squat Jumps,3
266,Squat Jumps,4
267,Squat Jumps,5
268,Squat,1
269,Squat,2
270,Stability Ball Hamstring Curl,1
271,Stability Ball Hamstring Curl,2
272,Stability Ball Hamstring Curl,3
273,Stability Ball Reverse Extensions,1
274,Stability Ball Reverse Extensions,2
275,Stability Ball Reverse Extensions,3
276,Stability Ball Wall Squats,1
277,Stability Ball Wall Squats,2
278,Standing Gate Openers (Frankensteins),1
279,Standing Gate Openers (Frankensteins),2
280,Standing Gate Openers (Frankensteins),3
281,Standing Gate Openers (Frankensteins),4
282,Standing Hip Abduction,1
283,Standing Hip Abduction,2
284,Standing Hip Adduction,1
285,Standing Hip Adduction,2
286,Standing Lunge Stretch,1
287,Standing Lunge Stretch,2
288,Standing Triangle Straddle Bends,1
289,Standing Triangle Straddle Bends,2
290,Standing Triangle Straddle Bends,3
291,Step-up,1
292,Step-up,2
293,Step-up,3
294,Sumo Rotational Squats,1
295,Sumo Rotational Squats,2
296,Sumo Rotational Squats,3
297,Sumo Rotational Squats,4
298,Sumo Rotational Squats,5
299,Sumo Rotational Squats,6
300,Sumo Rotational Squats,7
301,Sumo Rotational Squats,8
302,Supermans,1
303,Supermans,2
304,Supine 90-90 Hip Rotator Stretch,1
305,Supine 90-90 Hip Rotator Stretch,2
306,Supine 90-90 Hip Rotator Stretch,3
307,Supine Hip Flexor Stretch,1
308,Supine Hip Flexor Stretch,2
309,Supine Hip Flexor Stretch,3
310,Supine Shoulder Roll,1
311,Supine Shoulder Roll,2
312,Thomas Stretch,1
313,Thomas Stretch,2
314,Thomas Stretch,3
315,Thomas Stretch,4
316,Transverse Lunge,1
317,Transverse Lunge,2
318,TRX ¢ç Assisted Cross-over Lunge with Arm Raise,1
319,TRX ¢ç Assisted Cross-over Lunge with Arm Raise,2
320,TRX ¢ç Assisted Cross-over Lunge with Arm Raise,3
321,TRX ¢ç Assisted Cross-over Lunge with Arm Raise,4
322,TRX ¢ç Assisted Cross-over Lunge with Arm Raise,5
323,TRX ¢ç Assisted Cross-over Lunge with Arm Raise,6
324,TRX ¢ç Assisted Side Lunge with Arm Raise,1
325,TRX ¢ç Assisted Side Lunge with Arm Raise,2
326,TRX ¢ç Assisted Side Lunge with Arm Raise,3
327,TRX ¢ç Hamstrings Curl,1
328,TRX ¢ç Hamstrings Curl,2
329,TRX ¢ç Hip Press,1
330,TRX ¢ç Hip Press,2
331,TRX ¢ç Suspended Lunge,1
332,TRX ¢ç Suspended Lunge,2
333,TRX ¢ç Suspended Lunge,3
334,Tuck Jump,1
335,Tuck Jump,2
336,Tuck Jump,3
337,Tuck Jump,4
338,Tuck Jump,5
339,Walking Abduction,1
340,Walking Abduction,2
341,Walking Abduction,3
342,Walking Abduction,4
343,Walking Abduction,5
344,Walking Lunges with Twists,1
345,Walking Lunges with Twists,2
346,Walking Lunges with Twists,3
347,Walking Lunges with Twists,4
348,Walking Lunges with Twists,5
349,Walking Lunges with Twists,6
350,Walking Lunges with Twists,7
351,Warrior I,1
352,Warrior I,2
