index,training_name,training_index
230,Transverse Lunge to Single Arm Row,1
231,Transverse Lunge to Single Arm Row,2
232,TRX ¢ç Assisted Side Lunge with Arm Raise,1
233,TRX ¢ç Assisted Side Lunge with Arm Raise,2
234,TRX ¢ç Assisted Side Lunge with Arm Raise,3
235,Turkish Get-up,1
236,Turkish Get-up,2
237,Turkish Get-up,3
238,Turkish Get-up,4
239,Turkish Get-up,5
240,Turkish Get-up,6
241,Waiter's Carry,1
242,Waiter's Carry,2
243,Warrior I,1
244,Warrior I,2
