index,training_name,training_index
212,Single Arm Overhead Squat,1
213,Single Arm Overhead Squat,2
214,Single Leg Hamstring Curl,1
215,Single Leg Hamstring Curl,2
216,Single Leg Push-off,1
217,Single Leg Push-off,2
218,Single Leg Push-off,3
219,Single Leg Push-off,4
220,Single Leg Squat,1
221,Single Leg Squat,2
222,Single Leg Squat,3
223,Single Leg Squat,4
224,Single Leg Squat,5
225,Single Leg Squat,6
226,Squat Jump,1
227,Squat Jump,2
228,Squat Jump,3
229,Squat Jump,4
230,Squat Jumps,1
231,Squat Jumps,2
232,Squat Jumps,3
233,Squat Jumps,4
234,Squat Jumps,5
235,Squat to Overhead Raise,1
236,Squat to Overhead Raise,2
237,Squat to Overhead Raise,3
238,Stability Ball Hamstring Curl,1
239,Stability Ball Hamstring Curl,2
240,Stability Ball Hamstring Curl,3
241,Stability Ball Wall Squats,1
242,Stability Ball Wall Squats,2
243,Standing Gate Openers (Frankensteins),1
244,Standing Gate Openers (Frankensteins),2
245,Standing Gate Openers (Frankensteins),3
246,Standing Gate Openers (Frankensteins),4
247,Standing Hamstrings Curl,1
248,Standing Hamstrings Curl,2
249,Standing Hip Adduction,1
250,Standing Hip Adduction,2
251,Standing Leg Extension,1
252,Standing Leg Extension,2
253,Standing Leg Extension,3
254,Standing Lunge Stretch,1
255,Standing Lunge Stretch,2
256,Standing Triangle Straddle Bends,1
257,Standing Triangle Straddle Bends,2
258,Standing Triangle Straddle Bends,3
259,Step-up,1
260,Step-up,2
261,Step-up,3
262,Sumo Rotational Squats,1
263,Sumo Rotational Squats,2
264,Sumo Rotational Squats,3
265,Sumo Rotational Squats,4
266,Sumo Rotational Squats,5
267,Sumo Rotational Squats,6
268,Sumo Rotational Squats,7
269,Sumo Rotational Squats,8
270,Supine 90-90 Hip Rotator Stretch,1
271,Supine 90-90 Hip Rotator Stretch,2
272,Supine 90-90 Hip Rotator Stretch,3
273,Supine Hamstrings Stretch,1
274,Supine Hamstrings Stretch,2
275,Supine Hip Flexor Stretch,1
276,Supine Hip Flexor Stretch,2
277,Supine Hip Flexor Stretch,3
278,Supine IT Band Stretch,1
279,Supine IT Band Stretch,2
280,Thomas Stretch,1
281,Thomas Stretch,2
282,Thomas Stretch,3
283,Thomas Stretch,4
284,TRX ¢ç Hamstrings Curl,1
285,TRX ¢ç Hamstrings Curl,2
286,TRX ¢ç Hip Press,1
287,TRX ¢ç Hip Press,2
288,TRX ¢ç Suspended Lunge,1
289,TRX ¢ç Suspended Lunge,2
290,TRX ¢ç Suspended Lunge,3
291,Walking Lunges with Twists,1
292,Walking Lunges with Twists,2
293,Walking Lunges with Twists,3
294,Walking Lunges with Twists,4
295,Walking Lunges with Twists,5
296,Walking Lunges with Twists,6
297,Walking Lunges with Twists,7
298,Warrior I,1
299,Warrior I,2
