index,training_name,training_index
180,Supine Spinal Twist with Rib Grab and Progressions,2
181,Supine Spinal Twist with Rib Grab and Progressions,3
182,Supine Spinal Twist with Rib Grab and Progressions,4
183,Supine Spinal Twist with Rib Grab and Progressions,5
184,Supine Spinal Twist with Rib Grab and Progressions,6
185,Supine Spinal Twist with Rib Grab and Progressions,7
186,Supine Spinal Twist with Rib Grab and Progressions,8
187,Supine Spinal Twist with Rib Grab and Progressions,9
188,TRX ¢ç Assisted Cross-over Lunge with Arm Raise,1
189,TRX ¢ç Assisted Cross-over Lunge with Arm Raise,2
190,TRX ¢ç Assisted Cross-over Lunge with Arm Raise,3
191,TRX ¢ç Assisted Cross-over Lunge with Arm Raise,4
192,TRX ¢ç Assisted Cross-over Lunge with Arm Raise,5
193,TRX ¢ç Assisted Cross-over Lunge with Arm Raise,6
194,TRX ¢ç Assisted Side Lunge with Arm Raise,1
195,TRX ¢ç Assisted Side Lunge with Arm Raise,2
196,TRX ¢ç Assisted Side Lunge with Arm Raise,3
197,TRX ¢ç Atomic Push-up,1
198,TRX ¢ç Atomic Push-up,2
199,TRX ¢ç Atomic Push-up,3
200,TRX ¢ç Atomic Push-up,4
201,TRX ¢ç Side-straddle Golf Swings,1
202,TRX ¢ç Side-straddle Golf Swings,2
203,TRX ¢ç Side-straddle Golf Swings,3
204,TRX ¢ç Suspended Pike,1
205,TRX ¢ç Suspended Pike,2
206,TRX ¢ç Suspended Pike,3
207,TRX ¢ç Suspended Push-up,1
208,TRX ¢ç Suspended Push-up,2
209,V-raise,1
